지점명,평균기온(℃),평균최고기온(℃),최고기온(℃),"	최고기온일자",평균최저기온(℃),최저기온(℃),최저기온일자
남원,-2.9,3.3,11.1,2003-01-17,-8.5,-19.3,2003-01-06
남원,2.1,8.8,14.3,2003-02-26,-3.3,-10.3,2003-02-02
남원,6,12.9,22.2,2003-03-30,-0.2,-5,2003-03-04
남원,13.2,20,27.1,2003-04-17,6.9,-1.2,2003-04-06
남원,18.8,25.6,29.7,2003-05-28,12.7,3,2003-05-01
남원,21.7,27.2,31.2,2003-06-08,16.9,10.1,2003-06-05
남원,23.2,27.5,32.7,2003-07-30,20,15.8,2003-07-02
남원,24.2,29,34.4,2003-08-22,20.5,16.2,2003-08-14
남원,21.9,28.1,33.2,2003-09-04,17.2,8.6,2003-09-23
남원,12.2,21,28.2,2003-10-10,5.4,-1,2003-10-27
남원,9.2,16.2,24.3,2003-11-02,3.6,-6.4,2003-11-23
남원,0.8,7.3,15,2003-12-05,-4.3,-13.5,2003-12-20
남원,-2.1,5,12.3,2004-01-31,-7.9,-15.3,2004-01-22
남원,1.8,9.5,20.3,2004-02-20,-5.2,-12.8,2004-02-08
남원,5.9,13.7,22.1,2004-03-29,-1.6,-10.3,2004-03-07
남원,11.8,20.7,28.8,2004-04-21,3,-3.2,2004-04-05
남원,17.1,23.1,30.2,2004-05-29,11.2,3.2,2004-05-05
남원,22,28,32.4,2004-06-05,16.6,8.8,2004-06-01
남원,25.4,30.4,35.2,2004-07-23,21.6,18,2004-07-09
남원,25,30.8,35,2004-08-10,20.7,16.1,2004-08-31
남원,20.4,26.4,30.3,2004-09-04,15.8,9.8,2004-09-22
남원,12.8,21.8,26.1,2004-10-08,5.3,-1.7,2004-10-27
남원,7,15.4,23.7,2004-11-09,0.9,-3.9,2004-11-30
남원,2,9.3,18.6,2004-12-03,-4.1,-8.8,2004-12-30
남원,-2.3,3.6,11.3,2005-01-28,-7.8,-13.3,2005-01-05
남원,-1.1,4.7,11.5,2005-02-17,-6.2,-11.8,2005-02-13
남원,3.8,11.4,22,2005-03-10,-3.2,-10.3,2005-03-04
남원,12.8,21.6,30.5,2005-04-29,4.1,-2.5,2005-04-16
남원,17.7,25.6,31.1,2005-05-29,9.8,3.2,2005-05-10
남원,23.4,29.6,34,2005-06-25,18,12.3,2005-06-01
남원,25.8,31,37,2005-07-23,21.8,19.3,2005-07-08
남원,25.2,30.2,34.5,2005-08-05,21.6,16.7,2005-08-28
남원,22.6,28.2,32.5,2005-09-12,18.2,10.8,2005-09-29
남원,13.1,21.4,27.7,2005-10-01,6.5,-2,2005-10-23
남원,6.4,15.2,24.6,2005-11-04,-0.5,-8.3,2005-11-20
남원,-3.1,3.2,14.8,2005-12-01,-9,-19.3,2005-12-18
남원,0.7,7,13.6,2006-01-29,-4.4,-10.6,2006-01-07
남원,1.1,7.3,16,2006-02-24,-4.6,-15.1,2006-02-09
남원,5.9,13.7,20.8,2006-03-22,-1.4,-9.1,2006-03-13
남원,11.2,18.1,27.8,2006-04-30,4.4,-1.2,2006-04-03
남원,18.4,24.8,30.8,2006-05-31,12.5,5.9,2006-05-03
남원,22.8,28.8,33.7,2006-06-28,17.4,12.6,2006-06-12
남원,24.2,28.1,33.2,2006-07-31,21.3,18.2,2006-07-23
남원,26.5,32.5,35.9,2006-08-08,22.5,20.3,2006-08-30
남원,18.8,25.7,30.3,2006-09-02,13.4,8.6,2006-09-25
남원,15.5,25,28.6,2006-10-15,8.5,2.2,2006-10-31
남원,8.2,15.5,23.3,2006-11-09,1.8,-4,2006-11-30
남원,0.8,8,15.6,2006-12-26,-4.4,-12.1,2006-12-30
남원,0,6.6,12.3,2007-01-04,-5.1,-9.6,2007-01-14
남원,3.7,11.9,19.1,2007-02-07,-2.7,-9.3,2007-02-02
남원,7.1,14.3,22.1,2007-03-28,0.8,-5.5,2007-03-11
남원,11.1,19.2,26.1,2007-04-29,3.2,-2.7,2007-04-05
남원,17.7,24.9,29.2,2007-05-22,10.8,6,2007-05-03
남원,22.8,28.2,33.2,2007-06-19,17.7,12.6,2007-06-10
남원,24.9,29.8,33.7,2007-07-26,21.2,18.7,2007-07-15
남원,26.6,31.4,35,2007-08-25,23.2,19.8,2007-08-31
남원,21.4,26.2,30.7,2007-09-19,17.9,12.6,2007-09-29
남원,13.9,21.5,27.6,2007-10-05,8.1,0.2,2007-10-21
남원,5.3,13.9,20.7,2007-11-09,-1.3,-7.5,2007-11-19
남원,1.5,7.6,15.5,2007-12-26,-3.4,-6.9,2007-12-06
남원,-0.5,4.8,11.7,2008-01-09,-4.6,-11.1,2008-01-17
남원,-1.3,5.9,14,2008-02-22,-7.7,-12.9,2008-02-13
남원,6.6,14.6,21.3,2008-03-21,-0.9,-7.6,2008-03-08
남원,12.7,20.5,27.9,2008-04-19,4.9,-1.9,2008-04-04
남원,17.4,25,32,2008-05-03,9.8,2,2008-05-06
남원,21.3,26.4,32.2,2008-06-13,16.7,10.2,2008-06-01
남원,26.4,31.5,34.9,2008-07-08,22.6,20,2008-07-01
남원,24.6,30.4,33.7,2008-08-10,20.1,14.7,2008-08-27
남원,21.7,28.8,33.9,2008-09-18,16,4.8,2008-09-27
남원,15,24,29.8,2008-10-18,8.1,2.6,2008-10-13
남원,6.9,14.9,22.9,2008-11-06,0.6,-8.2,2008-11-20
남원,1.2,8.4,17.3,2008-12-10,-4.6,-10.6,2008-12-07
남원,-1.6,5.6,14.4,2009-01-31,-7.7,-15.3,2009-01-15
남원,4.1,11.3,19.2,2009-02-13,-2.3,-7.9,2009-02-17
남원,7.1,14.6,25.8,2009-03-19,-0.1,-7.1,2009-03-15
남원,12.3,21.1,28.4,2009-04-18,3.9,-3.4,2009-04-02
남원,18.1,26.4,31,2009-05-10,10,4,2009-05-01
남원,22.3,28.4,33.4,2009-06-26,16.6,9.6,2009-06-01
남원,24.3,28.8,32.3,2009-07-20,20.7,17.5,2009-07-07
남원,24.9,30.1,33.6,2009-08-15,20.3,14.8,2009-08-29
남원,20.5,27.5,32,2009-09-06,14.9,10.2,2009-09-19
남원,13.2,22.2,27.2,2009-10-01,6.1,1.6,2009-10-21
남원,5.8,12.6,24.1,2009-11-09,0.3,-8.3,2009-11-22
남원,-1.2,4.7,11.5,2009-12-11,-6.3,-18.4,2009-12-31
남원,-3.4,3.1,12.4,2010-01-20,-9.2,-18.3,2010-01-01
남원,1,6.7,17.7,2010-02-24,-4,-12.2,2010-02-07
남원,4.6,9.9,20.8,2010-03-20,-0.8,-6.8,2010-03-19
남원,8.3,15.1,23.9,2010-04-20,1.6,-4.1,2010-04-04
남원,16,23,30.4,2010-05-21,9.1,-0.9,2010-05-01
남원,21.9,28.4,32.2,2010-06-17,16.3,10.1,2010-06-02
남원,24.3,29.1,31.8,2010-07-22,21.1,17.2,2010-07-08
남원,26.6,31.6,34.7,2010-08-21,23.3,20.5,2010-08-09
남원,21.8,28,33.2,2010-09-04,17.1,6.5,2010-09-30
남원,13.5,21,25.6,2010-10-10,7.4,-3.2,2010-10-27
남원,5.1,13.7,19.3,2010-11-06,-2.1,-6.6,2010-11-27
남원,-0.4,6.3,15.4,2010-12-01,-5.9,-14.3,2010-12-31
남원,-6.3,0.1,3.6,2011-01-08,-12.6,-17,2011-01-01
남원,0.7,8.5,17.7,2011-02-24,-5.5,-12.3,2011-02-01
남원,3.4,10.9,21.3,2011-03-31,-3.5,-7.6,2011-03-04
남원,10.7,18.6,26.6,2011-04-30,2.6,-3.3,2011-04-01
남원,17.7,24.1,29.2,2011-05-29,11.3,4.5,2011-05-04
남원,22.9,28.9,33.6,2011-06-21,17.5,13.4,2011-06-08
남원,25.6,30.2,35.1,2011-07-20,22.2,17.4,2011-07-05
남원,25.1,29.8,34.4,2011-08-05,21.7,16.7,2011-08-21
남원,21,27.6,33.9,2011-09-17,15.8,5.9,2011-09-27
남원,12.6,21.1,26.1,2011-10-10,5.6,-1.9,2011-10-26
남원,10.4,16.7,26.7,2011-11-04,5.4,-4.2,2011-11-22
남원,0,5.6,11.4,2011-12-13,-5,-11.3,2011-12-23
남원,-1.9,4,10.8,2012-01-20,-7.3,-15.2,2012-01-26
남원,-1.6,4.9,14.4,2012-02-29,-7.3,-14.4,2012-02-09
남원,5.1,11.1,19.6,2012-03-29,-0.7,-7.8,2012-03-13
남원,12,19.4,28.3,2012-04-24,4.4,-3.5,2012-04-07
남원,18.8,26.2,31.6,2012-05-29,12,7.6,2012-05-06
남원,22.5,28.4,31.5,2012-06-21,17.7,13.9,2012-06-01
남원,26,30.7,35.8,2012-07-31,22.1,19.3,2012-07-09
남원,26.4,31.4,35.9,2012-08-05,22.5,17.3,2012-08-31
남원,19.7,26,30.3,2012-09-03,14.9,8.5,2012-09-30
남원,12.7,21.8,26,2012-10-04,5.2,0.1,2012-10-19
남원,5.6,12.1,18.6,2012-11-09,0,-5.6,2012-11-25
남원,-2.3,3.2,9.6,2012-12-02,-7.4,-14.7,2012-12-31
남원,-3.1,3.4,13.4,2013-01-30,-8.9,-18.4,2013-01-04
남원,0.2,6.2,18.9,2013-02-28,-5.4,-11.8,2013-02-08
남원,6.1,15.2,26.5,2013-03-09,-1.8,-8.1,2013-03-03
남원,9.6,17,27.5,2013-04-16,1.8,-3.8,2013-04-13
남원,17.7,25.4,32.2,2013-05-25,10.4,1.9,2013-05-01
남원,23.6,29.1,32.4,2013-06-16,18.9,12.8,2013-06-02
남원,26.3,31,34.2,2013-07-10,22.6,19.8,2013-07-01
남원,27,32.2,35.5,2013-08-12,22.9,19.4,2013-08-31
남원,20.8,26.6,31.4,2013-09-18,16.2,7.6,2013-09-27
남원,15.1,21.7,28.2,2013-10-01,9.8,1.9,2013-10-27
남원,6.5,12.4,22.1,2013-11-01,1.7,-3.5,2013-11-28
남원,1,6.3,13.2,2013-12-09,-3.4,-8.6,2013-12-28
남원,-0.2,6.7,14.4,2014-01-31,-5.9,-11,2014-01-14
남원,3.1,8.9,19.1,2014-02-01,-2,-8.5,2014-02-04
남원,7.1,13.7,24.2,2014-03-28,1,-7.6,2014-03-10
남원,13,20.3,26.3,2014-04-25,6.6,-1,2014-04-06
남원,18,25.4,34,2014-05-31,11,2.6,2014-05-06
남원,22.1,27,31,2014-06-27,17.7,14.9,2014-06-15
남원,24.5,29,34.6,2014-07-31,20.6,17.1,2014-07-27
남원,23.5,27.4,30.8,2014-08-05,20.8,16.8,2014-08-30
남원,20.5,26.6,30.2,2014-09-07,15.8,11,2014-09-20
남원,14.3,21.3,25.9,2014-10-10,8.4,1.4,2014-10-28
남원,8,14.3,19,2014-11-06,2.9,-3.4,2014-11-19
남원,-1.2,3.9,9.9,2014-12-01,-5.4,-10.2,2014-12-17
남원,-0.5,4.6,10.2,2015-01-25,-5,-11.7,2015-01-03
남원,1,6.3,11.1,2015-02-20,-3.6,-11.9,2015-02-09
남원,5.9,13.3,22.5,2015-03-30,-1,-6.9,2015-03-05
남원,12.4,19.2,27.8,2015-04-26,6.5,0.2,2015-04-17
남원,17.9,25.1,32.2,2015-05-26,10.9,2.5,2015-05-05
남원,21.1,26.5,30.7,2015-06-10,16.5,10.3,2015-06-06
남원,24.3,28.7,34,2015-07-30,20.5,14,2015-07-04
남원,24.4,29.8,35.9,2015-08-07,20,16.1,2015-08-27
남원,20,26.2,29.5,2015-09-29,14.7,10.3,2015-09-14
남원,14.4,22.1,27,2015-10-06,8.6,-0.6,2015-10-31
남원,9.9,14.7,20.9,2015-11-04,6.3,-3.2,2015-11-27
남원,3.3,8.6,15.4,2015-12-13,-1.1,-7.1,2015-12-30
남원,-1.2,3.8,13.7,2016-01-03,-5.3,-17,2016-01-25
남원,1.2,7.5,20.5,2016-02-13,-4,-10,2016-02-07
남원,6.9,14.1,22.3,2016-03-30,0.3,-9.4,2016-03-01
남원,14.3,21.3,27.3,2016-04-25,8,3.8,2016-04-01
남원,18.6,25.6,31.1,2016-05-18,12,5.9,2016-05-17
남원,22.3,27.3,30.9,2016-06-23,17.8,13.4,2016-06-05
남원,26.1,30.9,34.8,2016-07-31,22.3,18.4,2016-07-18
남원,26.5,32.6,36.2,2016-08-12,21.9,15.4,2016-08-30
남원,21.8,26.5,31.2,2016-09-03,18,13.2,2016-09-21
남원,15.7,20.6,29.3,2016-10-04,11.7,3.2,2016-10-30
남원,7.4,13.6,19.9,2016-11-05,2,-3.5,2016-11-29
남원,2.2,8.3,18.4,2016-12-22,-2.8,-9,2016-12-30
남원,-0.4,5.7,14.3,2017-01-08,-5.6,-13.1,2017-01-23
남원,1.1,7.6,15.2,2017-02-16,-4.9,-9.8,2017-02-02
남원,5.6,12.8,19.7,2017-03-30,-1,-5.7,2017-03-03
남원,13.4,21,29.1,2017-04-16,6.3,-1.5,2017-04-03
남원,18,25.8,32.3,2017-05-29,10.9,5.9,2017-05-07
남원,22,28.7,33.4,2017-06-18,16.1,9.8,2017-06-04
남원,26.7,31.5,34.8,2017-07-21,23.3,21,2017-07-27
남원,25.5,30.8,37,2017-08-06,21.2,13.7,2017-08-31
남원,20.3,26.5,29.5,2017-09-25,15.2,6.5,2017-09-30
남원,15.1,21,28.4,2017-10-09,10.4,-1.8,2017-10-31
남원,5.9,13.5,20.4,2017-11-10,-0.2,-4.6,2017-11-19
남원,-0.7,4.9,12.5,2017-12-03,-5.9,-12.5,2017-12-14
남원,-2.5,3,10.9,2018-01-15,-7,-16.4,2018-01-12
남원,-0.5,6.2,15.1,2018-02-27,-6.8,-15.3,2018-02-07
남원,8.4,15.4,23.7,2018-03-14,2.1,-5.6,2018-03-02
남원,13.4,20.3,30.2,2018-04-20,6.8,-0.7,2018-04-08
남원,18.5,24.4,30.7,2018-05-15,12.8,3.2,2018-05-04
남원,22.7,28.8,34.3,2018-06-25,17.5,13.9,2018-06-01
남원,27.4,32.5,37.5,2018-07-28,23.1,19.2,2018-07-08
남원,27.3,32.7,37.2,2018-08-06,23.1,19,2018-08-19
남원,20.7,25.8,29.1,2018-09-05,16.2,7.1,2018-09-25
남원,12.5,19.5,25.2,2018-10-04,6.8,1.8,2018-10-31
남원,7.4,15.1,20.9,2018-11-05,1.6,-3.5,2018-11-23
남원,1,6.9,18.5,2018-12-02,-3.9,-11.8,2018-12-31
남원,-0.6,6.4,10.9,2019-01-30,-6.2,-10.1,2019-01-27
남원,2,8.3,14.8,2019-02-28,-3.2,-8.9,2019-02-01
남원,7,14.3,21.2,2019-03-27,0.3,-4.2,2019-03-14
남원,12,18.7,27.7,2019-04-22,5.7,-3.7,2019-04-01
남원,18,26.2,31.2,2019-05-24,10.4,2.7,2019-05-07
남원,21.7,27.5,32.5,2019-06-05,16.8,11.2,2019-06-01
남원,24.7,29.1,33.9,2019-07-31,21.2,16.6,2019-07-03
남원,26,31,35.4,2019-08-03,21.9,17,2019-08-31
남원,22.1,27.1,31.7,2019-09-11,18,11.3,2019-09-25
남원,15.9,21.8,28.6,2019-10-04,10.9,2.2,2019-10-28
남원,8.6,16.5,22.8,2019-11-01,2.5,-5.1,2019-11-30
남원,2.1,8.2,14.7,2019-12-16,-2.7,-9.4,2019-12-07
남원,2.3,7.8,17.5,2020-01-07,-1.9,-9.3,2020-01-01
남원,3.2,9.6,18.3,2020-02-14,-1.9,-10.8,2020-02-06
남원,7.3,14.6,24.2,2020-03-21,0.6,-5.1,2020-03-06
남원,9.9,17.7,26.5,2020-04-30,2.7,-2.7,2020-04-06
남원,18.3,24.4,29.3,2020-05-06,12.8,6.5,2020-05-13
남원,23.3,28.9,33.1,2020-06-09,18.5,11.7,2020-06-02
남원,23.2,27,30.8,2020-07-07,20.4,16.6,2020-07-02
남원,27.2,31.6,34.7,2020-08-20,23.7,21.6,2020-08-16
남원,20.5,25.6,31.4,2020-09-01,16.4,10.2,2020-09-29
남원,13.9,20.7,25.9,2020-10-03,8.2,2.2,2020-10-30
남원,8.2,14.7,22.7,2020-11-18,2.7,-2.6,2020-11-05
남원,0,6.4,11.1,2020-12-11,-4.9,-12.3,2020-12-31
남원,-0.8,5.1,14.5,2021-01-25,-6.2,-19.7,2021-01-08
남원,3.2,9.9,22.3,2021-02-21,-2.5,-8.4,2021-02-03
남원,9.2,16.3,24.7,2021-03-26,2.7,-3.6,2021-03-03
남원,13.7,20.6,27.6,2021-04-21,7.3,-0.4,2021-04-15
남원,17.1,23.6,30.3,2021-05-13,10.9,3,2021-05-06
남원,22.4,28.2,32.3,2021-06-08,17.6,10.4,2021-06-05
남원,26.1,31.1,34.8,2021-07-31,22.1,18.9,2021-07-01
남원,25.1,30.3,34.6,2021-08-06,21.6,17.7,2021-08-20
남원,21.8,26.2,30,2021-09-12,18.3,12.5,2021-09-24
남원,14.8,21.8,29.8,2021-10-03,9.2,-1.2,2021-10-18
남원,7.2,14.3,21.5,2021-11-07,2.1,-3.4,2021-11-28
남원,1.2,7.6,14.1,2021-12-06,-4,-12.5,2021-12-27
남원,-1,5.3,11.4,2022-01-23,-6.4,-11.4,2022-01-19
남원,-0.6,5.7,15,2022-02-28,-6.5,-11.9,2022-02-18
남원,7.7,14.6,21.9,2022-03-12,1.1,-6.7,2022-03-06
남원,13.8,21.5,28.2,2022-04-12,6.6,-1.7,2022-04-03
남원,17.9,25.4,31.3,2022-05-24,10.4,2.2,2022-05-03
남원,23.2,28.5,33.3,2022-06-22,18.7,12,2022-06-02
남원,26,30.6,34.2,2022-07-29,22.1,19.4,2022-07-23
남원,25.6,29.7,34,2022-08-07,22.1,13.4,2022-08-28
남원,21.4,26.9,32.9,2022-09-17,16.7,8.9,2022-09-24
남원,13.7,20.8,29.1,2022-10-01,7.6,-0.2,2022-10-25
남원,8.8,16.8,22.5,2022-11-12,2.4,-4,2022-11-30
남원,-1.9,3.7,11.8,2022-12-08,-6.7,-13.3,2022-12-25
남원,-1,5.3,15.6,2023-01-13,-6.4,-16.3,2023-01-25
남원,1.9,8.8,14.7,2023-02-28,-4.1,-9.1,2023-02-21
남원,9.1,17.3,24.5,2023-03-31,1.3,-7.1,2023-03-03
남원,13.1,19.8,27.9,2023-04-20,6.5,-2,2023-04-08
남원,18.2,24.3,31.7,2023-05-16,12.5,4.4,2023-05-08
남원,22.9,28.9,33.5,2023-06-19,18.1,13.4,2023-06-04
남원,,,33.3,2023-07-02,,19,2023-07-06
